sp.pop,Genus_species,Common_name,Population,Habitat_type,Habitat_open,Habitat_closed,Habitat_cat,Habitat_heterogenity,Activity_pattern,DisperseM,DisperseF,solitaryM,solitaryF,Solitary,MF,MF_adult_off,MFF,FMM,FFMM,FF,MM,Sex_specific_group,Sex_specific_solitaryM,Sex_specific_solitaryF,Sibling,Nbr_of_studies,Nbr_social_units,Nbr_papers_for_each_field_sites,IVSO,main_SO,calculation_main_SO,foraging_style,level_of_society,Disruption,Locomotion,mean_Male_Galan,mean_Female_Galan,mean_other_Galan,sd_Male_Galan,sd_Female_Galan,sd_other_Galan,mean_Fruits_galan,mean_Seeds_galan,mean_Leaves_galan,mean_Flowers_galan,mean_Animal_galan,sd_Fruits_galan,sd_Seeds_galan,sd_Leaves_galan,sd_Flowers_galan,sd_Animals_galan
sp,Cercopithecus_roloway,Roloway Monkey, ,Forest,0,1,closed,1,Diurnal, , , , , , , , , ,1, , , , , , ,1,1, ,wp,FFMM,1,groups,one,yes,AR,5.2,3.9,4.55, , , ,20.9, ,6.5,5.7,33.8, , , , , 
pop,Cercopithecus_roloway,Roloway Monkey,"Bia National Park, Ghana",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,1, , , , , , , ,1,1,wp,FFMM,1,groups,one,yes,AR,5.2,3.9,4.55, , , ,20.9, ,6.5,5.7,33.8, , , , , 
sp,Cercopithecus_sclateri,Sclater's Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Cercopithecus_wolfi,Wolf's Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Cheirogaleus_crossleyi,Crossley's Dwarf, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Cheirogaleus_major,Greater Dwarf Lemur, ,Forest,0,1,closed,1,Nocturnal, , , , , ,2, , , , , , , , , , ,1,2, ,none,MF,1,groups,one,none,AR,0.5746,0.4433,0.5, , , , , , , , , , , , , 
pop,Cheirogaleus_major,Greater Dwarf Lemur,"Littoral Rain Forest, Southern Madagascar",Forest,0,1,closed,1,Nocturnal, , , , , ,2, , , , , , , , , , , ,2,1,none,MF,1,groups,one,none,AR,0.5746,0.4433,0.5, , , , , , , , , , , , , 
sp,Cheirogaleus_medius,Fat Tailed Dwarf Lemur, ,Forest,0,1,closed,1,Nocturnal, , , , , ,10, ,1,3, , , , , , , ,2,14, ,wp,MF,0.714285714,solitary,one,none,AR, , , , , , , , , , , , , , , , 
pop,Cheirogaleus_medius,Fat Tailed Dwarf Lemur,"Kirindy Forest, Western Madagascar",Forest,0,1,closed,1,Nocturnal, , , , , ,9, ,1,3, , , , , , , , ,13,1,wp,MF,0.692307692,solitary,one,none,AR, , , , , , , , , , , , , , , , 
pop,Cheirogaleus_medius,Fat Tailed Dwarf Lemur,"Forestry Station of Ampijoroa, North-Western Madagascar",Forest,0,1,closed,1,Nocturnal, , , , , ,1, , , , , , , , , , , ,1,1,none,MF,1,solitary,one,none,AR, , , , , , , , , , , , , , , , 
sp,Cheirogaleus_minusculus,Lesser Iron-Grey Dwarf Lemur, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Cheirogaleus_sibreei,Sibree's Dwarf Lemur, , ,0,0,,1,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Cheracebus_lucifer,Yellow-handed Titi Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Cheracebus_lugens,White-chested Titi Monkey, ,Forest,0,1,closed,1,Diurnal, , , , , ,1,1, ,1, , , , , , , ,1,3, ,none,MF_FMM,0.333333333,groups, ,none,AR,1.49,1.26, , , , ,59.4,26.9,6.4,3.9,3.4, , , , , 
pop,Cheracebus_lugens,White-chested Titi Monkey,"Estacion Biologica Caparu, Colombia",Forest,0,1,closed,1,Diurnal, , , , , ,1,1, ,1, , , , , , , , ,3,1,none,MF_FMM,0.333333333,groups,one,none,AR,1.49,1.26, , , , ,59.4,26.9,6.4,3.9,3.4, , , , , 
sp,Cheracebus_medemi,Medem's Titi Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Cheracebus_purinus,Rio Purus Titi Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Cheracebus_regulus,Jurua Collared Titi Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Cheracebus_torquatus,White-collared Titi Monkey, ,Forest,0,1,closed, ,Diurnal, , , , , ,4, , , , , , , , , , ,4,4, ,none,MF,1,groups,one,none,AR,1.28,1.21,1.25, , , ,65, ,15, ,16, , , , , 
pop,Cheracebus_torquatus,White-collared Titi Monkey,"Estacion Biologica Callicebus, Peru",Forest,0,1,closed,1,Diurnal, , , , , ,1, , , , , , , , , , , ,1,1,none,MF,1,groups,one,none,AR,1.28,1.21,1.25, , , ,65, ,15, ,16, , , , , 
pop,Cheracebus_torquatus,White-collared Titi Monkey,"Estacion Biologica Caparu, Colombia",Forest,0,1,closed,1,Diurnal, , , , , ,1, , , , , , , , , , , ,1,1,none,MF,1,groups,one,none,AR,1.28,1.21,1.25, , , ,65, ,15, ,16, , , , , 
pop,Cheracebus_torquatus,White-collared Titi Monkey,"Southwest of  Iquitos, Peru",Forest,0,1,closed,1,Diurnal, , , , , ,1, , , , , , , , , , , ,1,1,none,MF,1,groups,one,none,AR,1.28,1.21,1.25, , , ,65, ,15, ,16, , , , , 
pop,Cheracebus_torquatus,White-collared Titi Monkey,"Western Amzon Basin, Peru",Forest,0,1,closed,1,Diurnal, , , , , ,1, , , , , , , , , , , ,1,1,none,MF,1,groups,one,none,AR,1.28,1.21,1.25, , , ,65, ,15, ,16, , , , , 
sp,Chiropotes_albinasus,Red-nosed Bearded Saki, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Chiropotes_chiropotes,Rio Negro Bearded Saki, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Chiropotes_satanas,Black Saki, ,Forest_Wetland,0,1,closed,2,Diurnal, , , , , , , ,1, ,2, , , , , , ,3,3, ,none,FFMM,0.666666667,groups,one,none,AR,3.1,2.96,2.885, , ,0.205060967,91.25, ,2.5,6.25, , , , , , 
pop,Chiropotes_satanas,Black Saki,"Guri Lake, Venezuela",Forest_Wetland,0,1,closed,2,Diurnal, , , , , , , ,1, , , , , , , , , ,1,1,none,MFF,1,groups,one,none,AR,3.1,2.96,2.885, , ,0.205060967,91.25, ,2.5,6.25, , , , , , 
pop,Chiropotes_satanas,Black Saki,"Tucurui hydroelectric reservoir, Brazil",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,2, , , , , , , ,2,2,none,FFMM,1,groups,one,none,AR,3.1,2.96,2.885, , ,0.205060967,91.25, ,2.5,6.25, , , , , , 
sp,Chiropotes_utahickae,Uta Hick's Bearded Saki, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Chlorocebus_aethiops,Grivet Monkey, ,Shrbuland_Granssland_Savanna_Forest_Wetland_Artificial,1,1,both, ,Diurnal, , , , , ,1, ,1,1,21, , , , , , ,8,24, ,both,FFMM,0.875,groups,ff,none,T,5.77,3.53,4.65, , , ,50.6, ,18.7,17.6,7.4, , , , , 
pop,Chlorocebus_aethiops,Grivet Monkey,"Loskop Dam Nature Reserve, South Africa",Shrubland_Grassland_Savanna_Forest,1,1,both,4,Diurnal, , , , , , , , , ,11, , , , , , , ,11,3,none,FFMM,1,groups,one,none,T,5.77,3.53,4.65, , , ,50.6, ,18.7,17.6,7.4, , , , , 
pop,Chlorocebus_aethiops,Grivet Monkey,"Ntendeka Wilderness Area, Ngome Forest, South Africa",Shrubland_Grassland_Forest,1,1,both,3,Diurnal, , , , , ,1, , , , , , , , , , , ,1,1,none,MF,1,groups,one,none,T,5.77,3.53,4.65, , , ,50.6, ,18.7,17.6,7.4, , , , , 
pop,Chlorocebus_aethiops,Grivet Monkey,"Lake Nabugabo, Uganda",Wetland_Grassland_Forest_Artificial,1,1,both,4,Diurnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,groups,one,none,T,5.77,3.53,4.65, , , ,50.6, ,18.7,17.6,7.4, , , , , 
pop,Chlorocebus_aethiops,Grivet Monkey,"Kwazulu Natal, South Africa",Wetland_Shrubland,1,1,both,2,Diurnal, , , , , , , ,1,1,9, , , , , , , ,11,3,wp,FFMM,0.818181818,groups,ff,yes,T,5.77,3.53,4.65, , , ,50.6, ,18.7,17.6,7.4, , , , , 
sp,Chlorocebus_cynosuros,Malbrouck Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Chlorocebus_djamdjamensis,Bale Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Chlorocebus_pygerythrus,Vervet Monkey, ,Wetland_Shrubland_Grassland_Savanna_Forest_Artificial,1,1,both,4,Diurnal, , , , , , , , , ,10, , , , , , ,5,10, ,none,FFMM,1,groups,one,none,T,4.28,2.98,4.665, , ,1.463711037, , , , , , , , , , 
pop,Chlorocebus_pygerythrus,Vervet Monkey,"Kwazulu Natal, South Africa",Wetland_Shrubland,1,1,both,2,Diurnal, , , , , , , , , ,6, , , , , , , ,6,2,none,FFMM,1,groups,one,none,T,4.28,2.98,4.665, , ,1.463711037, , , , , , , , , , 
pop,Chlorocebus_pygerythrus,Vervet Monkey,"Loskop Dam Nature Reserve, South Africa",Shrubland_Grassland_Savanna_Forest,1,1,both,4,Diurnal, , , , , , , , , ,2, , , , , , , ,2,1,none,FFMM,1,groups,one,none,T,4.28,2.98,4.665, , ,1.463711037, , , , , , , , , , 
pop,Chlorocebus_pygerythrus,Vervet Monkey,"Lake Nabugabo, Uganda",Wetland_Grassland_Forest_Artificial,1,1,both,4,Diurnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,groups,one,none,T,4.28,2.98,4.665, , ,1.463711037, , , , , , , , , , 
pop,Chlorocebus_pygerythrus,Vervet Monkey,"Laikipia Plateau, Kenya",Savanna_Shrubland_Forest,1,1,both,3,Diurnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,groups,one,none,T,4.28,2.98,4.665, , ,1.463711037, , , , , , , , , , 
sp,Chlorocebus_sabaeus,Green Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Chlorocebus_tantalus,Tantalus Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Colobus_angolensis,Black-and-White Angolian Colobus, ,Forest,0,1,closed,1,Diurnal,43, , , , ,3, ,5,1,1, , , , , , ,3,10, ,both,MFF,0.5,groups,ff,none,AR,9.8,7.4, , , , ,17, ,65,5, , , , , , 
pop,Colobus_angolensis,Black-and-White Angolian Colobus,"Lower Pangani River, Tanzania",Forest,0,1,closed,1,Diurnal,8, , , , ,1, ,1, , , , , , , , , ,2,1,wp,MF_MFF,0.5,groups,one,none,AR,9.8,7.4, , , , ,17, ,65,5, , , , , , 
pop,Colobus_angolensis,Black-and-White Angolian Colobus,"Amani, Tanzania",Forest,0,1,closed,1,Diurnal,13, , , , ,1, ,1, , , , , , , , , ,2,1,wp,MF_MFF,0.5,groups,one,none,AR,9.8,7.4, , , , ,17, ,65,5, , , , , , 
pop,Colobus_angolensis,Black-and-White Angolian Colobus,"Balangai, Tanzania",Forest,0,1,closed,1,Diurnal,7, , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,groups,one,none,AR,9.8,7.4, , , , ,17, ,65,5, , , , , , 
pop,Colobus_angolensis,Black-and-White Angolian Colobus,"Mazumbai, Tanzania",Forest,0,1,closed,1,Diurnal,10, , , , , , ,2,1, , , , , , , , ,3,1,wp,MFF,0.666666667,groups,one,none,AR,9.8,7.4, , , , ,17, ,65,5, , , , , , 
pop,Colobus_angolensis,Black-and-White Angolian Colobus,"Shume, Tanzania",Forest,0,1,closed,1,Diurnal,5, , , , ,1, , , , , , , , , , , ,1,1,none,MF,1,groups,one,none,AR,9.8,7.4, , , , ,17, ,65,5, , , , , , 
pop,Colobus_angolensis,Black-and-White Angolian Colobus,"Diani Forest, Kenya",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, , , , , , , , , ,1,1,none,MFF,1,groups,one,none,AR,9.8,7.4, , , , ,17, ,65,5, , , , , , 
pop,Colobus_angolensis,Black-and-White Angolian Colobus,"Lake Nabugabo, Uganda",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,groups,ff,none,AR,9.8,7.4, , , , ,17, ,65,5, , , , , , 
sp,Colobus_guereza,Black-and-White Colobus / Mantled Guereza, ,Forest_Wetland_Grassland_Shrubland,1,1,both,4,Diurnal,23, , , , ,8, ,57,3,28,1,1, , , , ,9,96, ,both,MFF,0.59375,groups,ff,none,AR,9.89,7.9,8.89, , , ,2.6,22,57.2,2.9, , , , , , 
pop,Colobus_guereza,Black-and-White Colobus / Mantled Guereza,"Arusha, Tanzania",Forest,0,1,closed,1,Diurnal,21, , , , ,2, ,1, ,2, , , , , , , ,5,1,wp,MF_FFMM,0.4,groups,one,none,AR,9.89,7.9,8.89, , , ,2.6,22,57.2,2.9, , , , , , 
pop,Colobus_guereza,Black-and-White Colobus / Mantled Guereza,"Budongo Forest, Uganda",Forest,0,1,closed,1,Diurnal,1, , , , , , ,11, ,2, , , , , , , ,13,1,wp,MFF,0.846153846,groups,one,none,AR,9.89,7.9,8.89, , , ,2.6,22,57.2,2.9, , , , , , 
pop,Colobus_guereza,Black-and-White Colobus / Mantled Guereza,"Queen Elizabeth National Park, Uganda",Forest,0,1,closed,1,Diurnal,1, , , , , , ,3,1, , ,1, , , , , ,4,1,wp,MFF,0.75,groups,one,none,AR,9.89,7.9,8.89, , , ,2.6,22,57.2,2.9, , , , , , 
pop,Colobus_guereza,Black-and-White Colobus / Mantled Guereza,"Bole Valley, Ethiopia",Forest,0,1,closed,1,Diurnal, , , , , ,6, ,8, ,2,1, , , , , , ,16,1,wp,MFF,0.5,groups,ff,none,AR,9.89,7.9,8.89, , , ,2.6,22,57.2,2.9, , , , , , 
pop,Colobus_guereza,Black-and-White Colobus / Mantled Guereza,"Kanyawara Forest Station, Uganda",Forest,0,1,closed,1,Diurnal, , , , , , , ,6,1,2, , , , , , , ,9,2,wp,MFF,0.666666667,groups,one,none,AR,9.89,7.9,8.89, , , ,2.6,22,57.2,2.9, , , , , , 
pop,Colobus_guereza,Black-and-White Colobus / Mantled Guereza,"Kakamega Forest, Kenya",Forest,0,1,closed,1,Diurnal, , , , , , , ,6,1,18, , , , , , , ,25,2,wp,FFMM,0.72,groups,one,none,AR,9.89,7.9,8.89, , , ,2.6,22,57.2,2.9, , , , , , 
pop,Colobus_guereza,Black-and-White Colobus / Mantled Guereza,"Kayanbura Gorge, Uganda",Forest_Wetland_Grassland_Shrubland,1,1,both,4,Diurnal, , , , , , , ,22, ,2, , , , , , , ,24,1,wp,MFF,0.916666667,groups,one,none,AR,9.89,7.9,8.89, , , ,2.6,22,57.2,2.9, , , , , , 
sp,Colobus_polykomos,King Colobus, ,Forest,0,1,closed,1,Diurnal, , , , , , , ,2, ,2, , , , , , ,1,4, ,wp,MFF_FFMM,0.5,groups,one,none,AR,9.9,8.3, , , , , , , , , , , , , , 
pop,Colobus_polykomos,King Colobus,"Taï National Park, Ivory Coast",Forest,0,1,closed,1,Diurnal, , , , , , , ,2, ,2, , , , , , , ,4,1,wp,MFF_FFMM,0.5,groups,one,none,AR,9.9,8.3, , , , , , , , , , , , , , 
sp,Colobus_satanas,Black Colobus, ,Forest_Grassland_Rocky,1,1,both,2,Diurnal, , , , , , , ,1, ,5, , , , , , ,3,6, ,wp,FFMM,0.833333333,groups,one,none,AR,10.4,7.42,8.91, , , ,4,60,26,5, , , , , , 
pop,Colobus_satanas,Black Colobus,"Rio Muni, Republic of Equatorial Guinea",Forest_Rocky,1,1,both,2,Diurnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,groups,one,none,AR,10.4,7.42,8.91, , , ,4,60,26,5, , , , , , 
pop,Colobus_satanas,Black Colobus,"Forêt des Abeilles, Gabon",Forest_Grassland,1,1,both,2,Diurnal, , , , , , , , , ,3, , , , , , , ,3,1,none,FFMM,1,groups,one,none,AR,10.4,7.42,8.91, , , ,4,60,26,5, , , , , , 
pop,Colobus_satanas,Black Colobus,"Douala Edea Reserve, Cameroon",Forest_Grassland,1,1,both,2,Diurnal, , , , , , , ,1, ,1, , , , , , , ,2,1,wp,MFF_FFMM,0.5,groups,one,none,AR,10.4,7.42,8.91, , , ,4,60,26,5, , , , , , 
sp,Colobus_vellerosus,Ursine Colobus / Geoffroy’s pied colobus, ,Forest_Savanna,1,1,both,2,Diurnal, , , , , , , ,2, ,3, , , , , , ,3,5, ,wp,FFMM,0.6,groups,one,yes,AR,8.5,6.9, , , , ,10.7,4,79,6, , , , , , 
pop,Colobus_vellerosus,Ursine Colobus / Geoffroy’s pied colobus,Boabeng-FiemaMonkeySanctuary_Ghana,Forest_Savanna,1,1,both,2,Diurnal, , , , , , , ,2, ,3, , , , , , , ,5,3,wp,FFMM,0.6,groups,one,yes,AR,8.5,6.9, , , , ,10.7,4,79,6, , , , , , 
sp,Daubentonia_madagascariensis,Aye-Aye, ,Forest,0,1,closed,1,Nocturnal, , ,2,1,1,1, , , , , , , , , , ,1,2, ,wp,solitary_MF,0.5,solitary_groups,one,none,AR,2.62,2.49,2.545, , ,0.021213203, ,40.83, , , , , , , , 
pop,Daubentonia_madagascariensis,Aye-Aye,"Mananara, Madagascar",Forest,0,1,closed,1,Nocturnal, , ,2,1,1,1, , , , , , , , , , , ,2,1,wp,solitary_MF,0.5,solitary_groups,one,none,AR,2.62,2.49,2.545, , ,0.021213203, ,40.83, , , , , , , , 
sp,Erythrocebus_patas,Patas Monkey, ,Savannas_Forest_Wetland_Grassland_Artificial,1,1,both,4,Diurnal,4, , , , , , ,18, ,9,1, , , , , ,9,27, ,both,MFF,0.666666667,groups,one,none,T,12.4,6.5, , , , ,6.5,0.6,2.2,9.42,42.7, , , , , 
pop,Erythrocebus_patas,Patas Monkey,"Waza Reserve, Cameroon",Savanna_Forest_Wetland,1,1,both,3,Diurnal, , , , , , , ,3, ,1, , , , , , , ,4,1,wp,MFF,0.75,groups,one,none,T,12.4,6.5, , , , ,6.5,0.6,2.2,9.42,42.7, , , , , 
pop,Erythrocebus_patas,Patas Monkey,"La Parguera, Puerto Rico",Wetland_Forest,0,1,closed,2,Diurnal,1, , , , , , ,4, ,3, , , , , , , ,7,2,wp,MFF,0.571428571,groups,one,none,T,12.4,6.5, , , , ,6.5,0.6,2.2,9.42,42.7, , , , , 
pop,Erythrocebus_patas,Patas Monkey,"Laikipia District, Kenya",Grassland_Forest_Wetland_Artifical,1,1,both,4,Diurnal,2, , , , , , ,5, ,5,1, , , , , , ,10,3,wp,MFF_FFMM,0.5,groups,ff,yes,T,12.4,6.5, , , , ,6.5,0.6,2.2,9.42,42.7, , , , , 
pop,Erythrocebus_patas,Patas Monkey,"Kala Maloue National Park,Cameroon",Wetland_Grassland_Forest,1,1,both,3,Diurnal,1, , , , , , ,6, , , , , , , , , ,6,3,wp,MFF,1,groups,ff,yes,T,12.4,6.5, , , , ,6.5,0.6,2.2,9.42,42.7, , , , , 
sp,Eulemur_albifrons,White-fronted Brown Lemur, ,Forest,0,1,closed,1,Cathemeral_Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none,AR,2.2125,2.15,1.9, , , ,68.89, ,11.78,13.06, , , , , , 
sp,Eulemur_cinereiceps,White-collared Brown Lemur, , ,0,0,, ,Cathemeral, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Eulemur_collaris,Red-collared Brown Lemur, ,Forest,0,1,closed,1,Cathemeral, , , , , , , , ,2,5, , , , , , ,2,7, ,wp,FFMM,0.714285714,groups,one,none,AR,2.07,2.217,2.18, , , ,78.5, ,4.4,14,3.3, , , , , 
pop,Eulemur_collaris,Red-collared Brown Lemur,"Sainte Luce, Madagascar",Forest,0,1,closed,1,Cathemeral, , , , , , , , , ,4, , , , , , , ,4,2,none,FFMM,1,groups,one,none,AR,2.07,2.217,2.18, , , ,78.5, ,4.4,14,3.3, , , , , 
pop,Eulemur_collaris,Red-collared Brown Lemur,"Madena, Madagascar",Forest,0,1,closed,1,Cathemeral, , , , , , , , ,2,1, , , , , , , ,3,2,wp,FMM,0.666666667,groups,one,none,AR,2.07,2.217,2.18, , , ,78.5, ,4.4,14,3.3, , , , , 
sp,Eulemur_coronatus,Crowned Lemur, , ,0,0,, ,Cathemeral_Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Eulemur_flavifrons,Blue-eyed Black Lemur, ,Forest,0,1,closed,1,Cathemeral, , , , , , , , , ,6, , , , , , ,1,6, ,none,FFMM,1,groups,one,none,AR,1.88,1.76,1.84, , , , , , , , , , , , , 
pop,Eulemur_flavifrons,Blue-eyed Black Lemur,"Ankarafa Forest, Madagascar",Forest,0,1,closed,1,Cathemeral, , , , , , , , , ,6, , , , , , , ,6,1,none,FFMM,1,groups,one,none,AR,1.88,1.76,1.84, , , , , , , , , , , , , 
sp,Eulemur_fulvus,Brown Lemur, ,Forest,0,1,closed,1,Cathemeral, , , , , , , , , ,1, , , , , , ,2,1, ,none,FFMM,1,groups,one,none,AR,1.95,2.15,1.84, , ,0.296984848,24.6, ,70.62,3.53, , , , , , 
pop,Eulemur_fulvus,Brown Lemur,"Berenty, Madagascar",Forest,0,1,closed,1,Cathemeral, , , , , , , , , ,1, , , , , , , ,1,2,none,FFMM,1,groups,one,none,AR,1.95,2.15,1.84, , ,0.296984848,24.6, ,70.62,3.53, , , , , , 
sp,Eulemur_macaco,Black Lemur, ,Forest,0,1,closed,1,Cathemeral, , , , , ,1, , , ,4, , , , , , ,1,5, ,wp,FFMM,0.8,groups,one,none,AR,2.115,2.095,2.063333333,0.332340187,0.473761543,0.293995465,78, ,12.7,4.8, , , , , , 
pop,Eulemur_macaco,Black Lemur,"Ampasikely, Madagascar",Forest,0,1,closed,1,Cathemeral, , , , , ,1, , , ,4, , , , , , , ,5,1,wp,FFMM,0.8,groups,one,none,AR,2.115,2.095,2.063333333,0.332340187,0.473761543,0.293995465,78, ,12.7,4.8, , , , , , 
sp,Eulemur_mongoz,Mongoose Lemur, ,Forest,0,1,closed,1,Cathemeral_Diurnal_Nocturnal, , , , , ,2, , , , , , , , , , ,1,2, ,none,MF,1,groups,one,none,AR,1.41,1.56,1.375, , ,0.148492424,59, ,37,2,2, , , , , 
pop,Eulemur_mongoz,Mongoose Lemur,"Anjamena, Madagascar",Forest,0,1,closed,1,Cathemeral_Diurnal_Nocturnal, , , , , ,2, , , , , , , , , , , ,2,1,none,MF,1,groups,one,none,AR,1.41,1.56,1.375, , ,0.148492424,59, ,37,2,2, , , , , 
sp,Eulemur_rubriventer,Red-bellied Lemur, ,Forest,0,1,closed,1,Cathemeral, , , , , ,39, ,5,3, , , , , , , ,3,47, ,wp,MF,0.829787234,groups,one,none,AR,2.067,1.96,1.98, , , ,75.25,0.04,7.825,7.65, ,18.03122292, ,3.995153314, , 
pop,Eulemur_rubriventer,Red-bellied Lemur,"Ranomafana, Madagascar",Forest,0,1,closed,1,Cathemeral, , , , , ,39, ,5,3, , , , , , , , ,47,3,wp,MF,0.829787234,groups,one,none,AR,2.067,1.96,1.98, , , ,75.25,0.04,7.825,7.65, ,18.03122292, ,3.995153314, , 
sp,Eulemur_rufifrons,Red-fronted Brown Lemur, ,Forest,0,1,closed,1,Cathemeral, , , , , , , , , ,8, , , , , , ,2,8, ,none,FFMM,1,groups,one,none,AR,2.178,2.251,2.15, , , ,59.25, ,29.35,9.45, , , , , , 
pop,Eulemur_rufifrons,Red-fronted Brown Lemur,"Kirindy Forest, Madagascar",Forest,0,1,closed,1,Cathemeral, , , , , , , , , ,8, , , , , , , ,8,2,none,FFMM,1,groups,one,none,AR,2.178,2.251,2.15, , , ,59.25, ,29.35,9.45, , , , , , 
sp,Eulemur_rufus,Rufous Brown Lemur, ,Forest,0,1,closed,1,Cathemeral, , , , , , , , ,2,30, , , , , , ,3,32, ,none,FFMM,0.9375,groups,one,none,AR,2.165,2.27,2.01,0.021213203,0.028284271,0.36373067,66.8, ,23.4,4, , , , , , 
pop,Eulemur_rufus,Rufous Brown Lemur,"Ranomafana, Madagascar",Forest,0,1,closed,1,Cathemeral, , , , , , , , , ,6, , , , , , , ,6,1,none,FFMM,1,groups,one,none,AR,2.165,2.27,2.01,0.021213203,0.028284271,0.36373067,66.8, ,23.4,4, , , , , , 
pop,Eulemur_rufus,Rufous Brown Lemur,"Kirindy Forest, Madagascar",Forest,0,1,closed,1,Cathemeral, , , , , , , , ,2,24, , , , , , , ,26,2,wp,FFMM,0.923076923,groups,one,none,AR,2.165,2.27,2.01,0.021213203,0.028284271,0.36373067,66.8, ,23.4,4, , , , , , 
sp,Eulemur_sanfordi,Sanford's Brown Lemur, , ,0,0,, ,Cathemeral_Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Euoticus_elegantulus,Southern Needle-clawed Galago, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Euoticus_pallidus,Northern Needle-clawed Galago, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Galago_cameronensis,Cross River Bushbaby, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Galago_gallarum,Somali Lesser Galago, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Galago_matschiei,Spectacled Lesser Galago, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Galago_moholi,Southern Lesser Galago, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Galago_nyasae,Malawi Galago, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Galago_senegalensis,Northern Lesser Galago, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Galagoides_demidoff,Demidoff's Dwarf Galago, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
